Date,Jan,Feb,Mar,Apl,May,Jun
1,,18.6Ê,19.4Ê,19.7Ê,23.1Ê,27.5Ê
2,16.3Ê,18.4Ê,18.9Ê,20.7Ê,22.9Ê,29.4Ê
3,15.2Ê,17.5Ê,17.8Ê,20.7Ê,24.3Ê,29.6Ê
4,15.7Ê,16.6Ê,18.9Ê,23.1Ê,25.5Ê,28.8Ê
5,17.6Ê,17.2Ê,18.9Ê,23.8Ê,25.7Ê,28.0Ê
6,18.5Ê,18.1Ê,19.0Ê,23.9Ê,26.6Ê,27.3Ê
7,18.0Ê,19.5Ê,19.0Ê,20.4Ê,25.0Ê,28.4Ê
8,17.7Ê,17.8Ê,20.3Ê,19.8Ê,21.5Ê,27.8Ê
9,17.4Ê,18.6Ê,21.8Ê,19.5Ê,22.4Ê,27.9Ê
10,16.2Ê,19.9Ê,20.8Ê,20.5Ê,22.7Ê,27.8Ê
11,16.8Ê,18.6Ê,20.8Ê,22.7Ê,22.5Ê,28.4Ê
12,18.2Ê,19.8Ê,21.8Ê,23.6Ê,22.1Ê,29.4Ê
13,20.4Ê,20.8Ê,19.7Ê,22.2Ê,21.1Ê,28.7Ê
14,22.1Ê,16.0Ê,18.6Ê,23.2Ê,20.2Ê,27.2Ê
15,16.0Ê,14.8Ê,20.0Ê,26.0Ê,23.5Ê,27.2Ê
16,10.1Ê,15.7Ê,20.7Ê,25.4Ê,24.7Ê,25.4Ê
17,10.2Ê,18.0Ê,20.9Ê,24.4Ê,26.0Ê,25.7Ê
18,12.0Ê,20.1Ê,22.1Ê,24.8Ê,27.8Ê,28.0Ê
19,13.8Ê,22.7Ê,20.2Ê,24.2Ê,28.0Ê,28.4Ê
20,15.2Ê,19.3Ê,21.4Ê,23.5Ê,28.2Ê,28.9Ê
21,16.0Ê,17.1Ê,22.4Ê,22.8Ê,28.3Ê,29.2Ê
22,17.7Ê,16.4Ê,23.1Ê,22.8Ê,28.3Ê,29.2Ê
23,18.0Ê,17.4Ê,23.4Ê,22.9Ê,26.3Ê,28.6Ê
24,14.0Ê,19.6Ê,24.0Ê,22.6Ê,24.4Ê,28.6Ê
25,11.1Ê,16.1Ê,22.6Ê,21.1Ê,25.4Ê,28.8Ê
26,14.3Ê,15.9Ê,19.0Ê,20.5Ê,26.8Ê,28.9Ê
27,13.7Ê,16.1Ê,16.8Ê,21.6Ê,27.4Ê,29.0Ê
28,11.5Ê,17.1Ê,16.6Ê,23.2Ê,27.5Ê,28.6Ê
29,11.7Ê,,18.9Ê,24.2Ê,28.0Ê,29.4Ê
30,13.7Ê,,19.3Ê,23.4Ê,31.1Ê,29.5Ê
31,16.0Ê,,19.5Ê,,31.0Ê,